Step,Node_Name,Instruction,Latitude,Longitude
1.0,Navigation,Head east,13.85163,100.56533
1.5,Speed Bump between step 1 and 2,Caution: Speed Bump Ahead,13.85162,100.56547
2.0,Navigation,Passing Point,13.85161,100.56561
2.5,Speed Bump between step 2 and 3,Caution: Speed Bump Ahead,13.85161,100.56561
3.0,Navigation,Turn left,13.85161,100.56561
4.0,Navigation,Passing Point,13.85177,100.56561
5.0,Navigation,Passing Point,13.85187,100.56561
6.0,Navigation,Passing Point,13.85207,100.56573
6.5,Speed Bump between step 6 and 7,Caution: Speed Bump Ahead,13.852075,100.565735
7.0,Navigation,Passing Point,13.85208,100.56574
7.5,Zebra Crossing between step 7 and 8,Caution: Zebra Crossing Ahead,13.852250000000002,100.565845
8.0,Navigation,Passing Point,13.85242,100.56595
9.0,Navigation,Passing Point,13.85259,100.56605
10.0,Stop 1,"You have arrived at your 1st destination, on the left",13.85259,100.56605
11.0,Navigation,Head northeast,13.85259,100.56605
11.5,Zebra Crossing between step 11 and 12,Caution: Zebra Crossing Ahead,13.85262,100.56607500000001
12.0,Navigation,Passing Point,13.85265,100.5661
13.0,Navigation,Passing Point,13.85274,100.56616
14.0,Navigation,Passing Point,13.8528,100.56627
15.0,Navigation,Passing Point,13.85284,100.56641
16.0,Navigation,Passing Point,13.85289,100.56667
17.0,Navigation,Enter the traffic circle and take the 1st exit,13.85289,100.56667
18.0,Navigation,Passing Point,13.85292,100.5667
19.0,Navigation,Passing Point,13.85293,100.56671
20.0,Navigation,Passing Point,13.85294,100.56675
21.0,Navigation,Passing Point,13.85294,100.5668
21.5,Speed Bump between step 21 and 22,Caution: Speed Bump Ahead,13.852935,100.56682
22.0,Navigation,Passing Point,13.85293,100.56684
22.5,Speed Bump between step 22 and 23,Caution: Speed Bump Ahead,13.852915,100.56685
23.0,Navigation,Passing Point,13.8529,100.56686
24.0,Navigation,Exit the traffic circle,13.8529,100.56686
25.0,Navigation,Passing Point,13.8529,100.56713
25.5,Speed Bump between step 25 and 26,Caution: Speed Bump Ahead,13.8529,100.56713
26.0,Navigation,Make a sharp left,13.8529,100.56713
26.5,Zebra Crossing between step 26 and 27,Caution: Zebra Crossing Ahead,13.85293,100.56712
27.0,Navigation,Passing Point,13.85296,100.56711
28.0,Navigation,Passing Point,13.85303,100.56708
29.0,Navigation,Passing Point,13.85446,100.56667
30.0,Navigation,Make a U-turn,13.85446,100.56667
30.5,Zebra Crossing between step 30 and 31,Caution: Zebra Crossing Ahead,13.853745,100.56687500000001
31.0,Navigation,Passing Point,13.85303,100.56708
32.0,Navigation,Passing Point,13.85297,100.5671
33.0,Stop 2,"You have arrived at your 2nd destination, on the right",13.85297,100.5671
34.0,Navigation,Head southeast,13.85297,100.5671
35.0,Navigation,Passing Point,13.85296,100.56711
35.5,Speed Bump between step 35 and 36,Caution: Speed Bump Ahead,13.85293,100.56712
36.0,Navigation,Passing Point,13.8529,100.56713
37.0,Navigation,Make a sharp left,13.8529,100.56713
38.0,Navigation,Passing Point,13.8534,100.56723
38.5,Zebra Crossing between step 38 and 39,Caution: Zebra Crossing Ahead,13.85364,100.56728
39.0,Navigation,Passing Point,13.85388,100.56733
39.5,Speed Bump between step 39 and 40,Caution: Speed Bump Ahead,13.85397,100.56735
40.0,Navigation,Passing Point,13.85406,100.56737
40.5,Speed Bump between step 40 and 41,Caution: Speed Bump Ahead,13.854165,100.567395
41.0,Navigation,Passing Point,13.85427,100.56742
42.0,Navigation,Passing Point,13.85436,100.56743
43.0,Navigation,Passing Point,13.85457,100.56748
43.5,Zebra Crossing between step 43 and 44,Caution: Zebra Crossing Ahead,13.854690000000002,100.56751
44.0,Navigation,Passing Point,13.85481,100.56754
44.5,Speed Bump between step 44 and 45,Caution: Speed Bump Ahead,13.85482,100.567495
45.0,Navigation,Passing Point,13.85483,100.56745
46.0,Stop 3,You have arrived at your 3rd destination,13.85483,100.56745
47.0,Navigation,Head west,13.85483,100.56745
48.0,Navigation,Passing Point,13.85488,100.56725
49.0,Navigation,Passing Point,13.85511,100.5673
49.5,Zebra Crossing between step 49 and 50,Caution: Zebra Crossing Ahead,13.855145,100.56730999999999
50.0,Navigation,Passing Point,13.85518,100.56732
51.0,Navigation,Passing Point,13.85524,100.56737
51.5,Speed Bump between step 51 and 52,Caution: Speed Bump Ahead,13.855245,100.56738
