Step,Node_Name,Instruction,Latitude,Longitude
104.0,Navigation,Passing Point,13.85004,100.57251
105.0,Navigation,Passing Point,13.8501,100.57251
106.0,Stop 6,You have arrived at your 6th destination,13.8501,100.57251
107.0,Navigation,Head north,13.8501,100.57251
108.0,Navigation,Passing Point,13.85039,100.57251
109.0,Navigation,Passing Point,13.85113,100.5725
109.5,Speed Bump between step 109 and 110,Caution: Speed Bump Ahead,13.851375,100.572505
110.0,Navigation,Passing Point,13.85162,100.57251
111.0,Stop 7,"You have arrived at your 7th destination, on the left",13.85162,100.57251
112.0,Navigation,Head north,13.85162,100.57251
113.0,Navigation,Passing Point,13.85171,100.57251
113.5,Zebra Crossing between step 113 and 114,Caution: Zebra Crossing Ahead,13.851895,100.572515
114.0,Navigation,Passing Point,13.85208,100.57252
115.0,Stop 8,You have arrived at your 8th destination,13.85208,100.57252
116.0,Navigation,Head north,13.85208,100.57252
117.0,Navigation,Passing Point,13.85244,100.57253
117.5,Speed Bump between step 117 and 118,Caution: Speed Bump Ahead,13.85247,100.572535
118.0,Navigation,Passing Point,13.8525,100.57254
119.0,Navigation,Turn right,13.8525,100.57254
119.5,Speed Bump between step 119 and 120,Caution: Speed Bump Ahead,13.8525,100.57258
120.0,Navigation,Passing Point,13.8525,100.57262
121.0,Navigation,Passing Point,13.8525,100.57274
122.0,Navigation,Passing Point,13.8525,100.57279
122.5,Zebra Crossing between step 122 and 123,Caution: Zebra Crossing Ahead,13.8525,100.57326499999999
123.0,Navigation,Passing Point,13.8525,100.57374
123.5,Zebra Crossing between step 123 and 124,Caution: Zebra Crossing Ahead,13.8525,100.573815
124.0,Navigation,Passing Point,13.8525,100.57389
125.0,Navigation,Passing Point,13.85249,100.57432
125.5,Zebra Crossing between step 125 and 126,Caution: Zebra Crossing Ahead,13.85249,100.574375
126.0,Navigation,Passing Point,13.85249,100.57443
126.5,Zebra Crossing between step 126 and 127,Caution: Zebra Crossing Ahead,13.852485,100.574775
127.0,Navigation,Passing Point,13.85248,100.57512
128.0,Navigation,Passing Point,13.85248,100.57551
128.5,Zebra Crossing between step 128 and 129,Caution: Zebra Crossing Ahead,13.85248,100.575775
129.0,Navigation,Passing Point,13.85248,100.57604
130.0,Navigation,Passing Point,13.85248,100.57617
131.0,Navigation,Passing Point,13.85248,100.57622
132.0,Navigation,Passing Point,13.85252,100.57683
132.5,Zebra Crossing between step 132 and 133,Caution: Zebra Crossing Ahead,13.852554999999999,100.577135
133.0,Navigation,Passing Point,13.85259,100.57744
134.0,Navigation,Passing Point,13.85261,100.57749
134.5,Zebra Crossing between step 134 and 135,Caution: Zebra Crossing Ahead,13.852625,100.57751999999999
135.0,Navigation,Passing Point,13.85264,100.57755
135.5,Speed Bump between step 135 and 136,Caution: Speed Bump Ahead,13.85266,100.577585
136.0,Navigation,Passing Point,13.85268,100.57762
137.0,Navigation,Passing Point,13.8527,100.57766
138.0,Navigation,Passing Point,13.85271,100.57772
138.5,Speed Bump between step 138 and 139,Caution: Speed Bump Ahead,13.85272,100.57782499999999
139.0,Navigation,Passing Point,13.85273,100.57793
140.0,Navigation,Passing Point,13.85278,100.57829
140.5,Zebra Crossing between step 140 and 141,Caution: Zebra Crossing Ahead,13.85278,100.57831999999999
141.0,Navigation,Passing Point,13.85278,100.57835
142.0,Navigation,Passing Point,13.8528,100.57839
143.0,Navigation,Passing Point,13.85282,100.57842
143.5,Zebra Crossing between step 143 and 144,Caution: Zebra Crossing Ahead,13.852844999999999,100.57842
144.0,Navigation,Passing Point,13.85287,100.57842
144.5,Zebra Crossing between step 144 and 145,Caution: Zebra Crossing Ahead,13.852905,100.57842
145.0,Navigation,Passing Point,13.85294,100.57842
145.5,Speed Bump between step 145 and 146,Caution: Speed Bump Ahead,13.853155000000001,100.57839
146.0,Navigation,Passing Point,13.85337,100.57836
147.0,Navigation,Turn right onto ถนนทวีศักดิ์เสสะเวศ,13.85337,100.57836
148.0,Navigation,Passing Point,13.85347,100.57915
149.0,Stop 9,"You have arrived at your 9th destination, on the left",13.85347,100.57915
150.0,Navigation,Head east on ถนนทวีศักดิ์เสสะเวศ,13.85347,100.57915
150.5,Zebra Crossing between step 150 and 151,Caution: Zebra Crossing Ahead,13.85353,100.579625
151.0,Navigation,Passing Point,13.85359,100.5801
152.0,Navigation,Passing Point,13.8536,100.58016
153.0,Navigation,Passing Point,13.85364,100.58049
153.5,Speed Bump between step 153 and 154,Caution: Speed Bump Ahead,13.85364,100.58049
154.0,Navigation,Turn right onto ซอยพหลโยธิน 45,13.85364,100.58049
154.5,Speed Bump between step 154 and 155,Caution: Speed Bump Ahead,13.853475,100.580505
155.0,Navigation,Passing Point,13.85331,100.58052
156.0,Navigation,Passing Point,13.85312,100.58054
156.5,Speed Bump between step 156 and 157,Caution: Speed Bump Ahead,13.853085,100.580545
157.0,Navigation,Passing Point,13.85305,100.58055
158.0,Navigation,Passing Point,13.85301,100.58056
159.0,Navigation,Passing Point,13.85292,100.58057
159.5,Speed Bump between step 159 and 160,Caution: Speed Bump Ahead,13.85282,100.58058
160.0,Navigation,Passing Point,13.85272,100.58059
160.5,Speed Bump between step 160 and 161,Caution: Speed Bump Ahead,13.852625,100.5806
161.0,Navigation,Passing Point,13.85253,100.58061
161.5,Speed Bump between step 161 and 162,Caution: Speed Bump Ahead,13.85253,100.58061
162.0,Navigation,Turn right,13.85253,100.58061
163.0,Navigation,Passing Point,13.85248,100.57971
164.0,Navigation,Turn right,13.85248,100.57971
165.0,Navigation,Passing Point,13.85279,100.57968
166.0,Navigation,Make a U-turn,13.85279,100.57968
167.0,Navigation,Passing Point,13.85248,100.57971
168.0,Navigation,Turn left,13.85248,100.57971
168.5,Zebra Crossing between step 168 and 169,Caution: Zebra Crossing Ahead,13.852505,100.58016
169.0,Navigation,Passing Point,13.85253,100.58061
170.0,Navigation,Turn left onto ซอยพหลโยธิน 45,13.85253,100.58061
171.0,Navigation,Passing Point,13.85272,100.58059
171.5,Speed Bump between step 171 and 172,Caution: Speed Bump Ahead,13.85282,100.58058
172.0,Navigation,Passing Point,13.85292,100.58057
172.5,Zebra Crossing between step 172 and 173,Caution: Zebra Crossing Ahead,13.85294,100.580565
173.0,Navigation,Passing Point,13.85296,100.58056
174.0,Stop 10,You have arrived at your 10th destination,13.85296,100.58056
175.0,Navigation,Head north on ซอยพหลโยธิน 45,13.85296,100.58056
176.0,Navigation,Passing Point,13.85301,100.58056
177.0,Navigation,Passing Point,13.85305,100.58055
177.5,Speed Bump between step 177 and 178,Caution: Speed Bump Ahead,13.853085,100.580545
178.0,Navigation,Passing Point,13.85312,100.58054
179.0,Navigation,Passing Point,13.85331,100.58052
180.0,Navigation,Passing Point,13.85364,100.58049
181.0,Navigation,Turn left onto ถนนทวีศักดิ์เสสะเวศ,13.85364,100.58049
182.0,Navigation,Passing Point,13.8536,100.58016
183.0,Navigation,Passing Point,13.85359,100.5801
184.0,Navigation,Passing Point,13.85349,100.57934
185.0,Stop 11,"You have arrived at your destination, on the left",13.85349,100.57934
186.0,Navigation,Head west on ถนนทวีศักดิ์เสสะเวศ,13.85349,100.57934
186.5,Zebra Crossing between step 186 and 187,Caution: Zebra Crossing Ahead,13.85343,100.57885
187.0,Navigation,Passing Point,13.85337,100.57836
187.5,Speed Bump between step 187 and 188,Caution: Speed Bump Ahead,13.85337,100.57836
188.0,Navigation,Turn left,13.85337,100.57836
189.0,Navigation,Passing Point,13.85311,100.57839
190.0,Stop 12,You have arrived at your destination,13.85311,100.57839
191.0,Navigation,Head south,13.85311,100.57839
192.0,Navigation,Passing Point,13.85294,100.57842
192.5,Speed Bump between step 192 and 193,Caution: Speed Bump Ahead,13.852905,100.57842
193.0,Navigation,Passing Point,13.85287,100.57842
194.0,Navigation,Passing Point,13.85282,100.57842
194.5,Speed Bump between step 194 and 195,Caution: Speed Bump Ahead,13.85281,100.578405
195.0,Navigation,Passing Point,13.8528,100.57839
196.0,Navigation,Passing Point,13.85278,100.57835
197.0,Navigation,Passing Point,13.85278,100.57829
197.5,Zebra Crossing between step 197 and 198,Caution: Zebra Crossing Ahead,13.852754999999998,100.57811
198.0,Navigation,Passing Point,13.85273,100.57793
199.0,Navigation,Passing Point,13.85271,100.57772
199.5,Speed Bump between step 199 and 200,Caution: Speed Bump Ahead,13.852705,100.57768999999999
200.0,Navigation,Passing Point,13.8527,100.57766
201.0,Navigation,Passing Point,13.85268,100.57762
201.5,Zebra Crossing between step 201 and 202,Caution: Zebra Crossing Ahead,13.85266,100.577585
202.0,Navigation,Passing Point,13.85264,100.57755
202.5,Zebra Crossing between step 202 and 203,Caution: Zebra Crossing Ahead,13.852625,100.57751999999999
203.0,Navigation,Passing Point,13.85261,100.57749
204.0,Navigation,Passing Point,13.85259,100.57744
204.5,Zebra Crossing between step 204 and 205,Caution: Zebra Crossing Ahead,13.85256,100.57717
205.0,Navigation,Passing Point,13.85253,100.5769
206.0,Stop 13,You have arrived at your destination,13.85253,100.5769
207.0,Navigation,Head west,13.85253,100.5769
207.5,Zebra Crossing between step 207 and 208,Caution: Zebra Crossing Ahead,13.852525,100.576865
208.0,Navigation,Passing Point,13.85252,100.57683
208.5,Speed Bump between step 208 and 209,Caution: Speed Bump Ahead,13.8525,100.576525
