Step,Node_Name,Instruction,Latitude,Longitude
1.0,Navigation,Head west,13.85163,100.56533
2.0,Navigation,Passing Point,13.85165,100.56514
3.0,Navigation,Turn left onto ถนนระพีสาคริก,13.85165,100.56514
3.5,Zebra Crossing between step 3 and 4,Caution: Zebra Crossing Ahead,13.851635,100.565135
4.0,Navigation,Passing Point,13.85162,100.56513
5.0,Navigation,Passing Point,13.85128,100.56496
5.5,Zebra Crossing between step 5 and 6,Caution: Zebra Crossing Ahead,13.85106,100.56485
6.0,Navigation,Passing Point,13.85084,100.56474
7.0,Navigation,Passing Point,13.85054,100.56459
8.0,Navigation,Passing Point,13.85012,100.56438
9.0,Navigation,Passing Point,13.84939,100.56396
10.0,Navigation,Passing Point,13.84936,100.56395
10.5,Zebra Crossing between step 10 and 11,Caution: Zebra Crossing Ahead,13.8493,100.564055
11.0,Navigation,Passing Point,13.84924,100.56416
12.0,Stop 1,"You have arrived at your 1st destination, on the right",13.84924,100.56416
13.0,Navigation,Head southeast on ถนนระพีสาคริก,13.84924,100.56416
14.0,Navigation,Passing Point,13.84919,100.56425
14.5,Speed Bump between step 14 and 15,Caution: Speed Bump Ahead,13.848995,100.56457499999999
15.0,Navigation,Passing Point,13.8488,100.5649
15.5,Zebra Crossing between step 15 and 16,Caution: Zebra Crossing Ahead,13.848790000000001,100.56492499999999
16.0,Navigation,Passing Point,13.84878,100.56495
17.0,Stop 2,You have arrived at your 2nd destination,13.84878,100.56495
18.0,Navigation,Head southeast on ถนนระพีสาคริก,13.84878,100.56495
19.0,Navigation,Passing Point,13.84847,100.56548
19.5,Speed Bump between step 19 and 20,Caution: Speed Bump Ahead,13.848445000000002,100.565515
20.0,Navigation,Passing Point,13.84842,100.56555
21.0,Navigation,Passing Point,13.84788,100.56659
21.5,Zebra Crossing between step 21 and 22,Caution: Zebra Crossing Ahead,13.847835,100.566665
22.0,Navigation,Passing Point,13.84779,100.56674
22.5,Speed Bump between step 22 and 23,Caution: Speed Bump Ahead,13.847785,100.56675
23.0,Navigation,Passing Point,13.84778,100.56676
23.5,Zebra Crossing between step 23 and 24,Caution: Zebra Crossing Ahead,13.847760000000001,100.5668
24.0,Navigation,Passing Point,13.84774,100.56684
25.0,Stop 3,"You have arrived at your 3rd destination, on the left",13.84774,100.56684
26.0,Navigation,Head southeast on ถนนระพีสาคริก,13.84774,100.56684
26.5,Zebra Crossing between step 26 and 27,Caution: Zebra Crossing Ahead,13.84743,100.567425
27.0,Navigation,Passing Point,13.84712,100.56801
28.0,Stop 4,"You have arrived at your 4th destination, on the left",13.84712,100.56801
29.0,Navigation,Head southeast on ถนนระพีสาคริก,13.84712,100.56801
29.5,Speed Bump between step 29 and 30,Caution: Speed Bump Ahead,13.847104999999999,100.56804
30.0,Navigation,Passing Point,13.84709,100.56807
31.0,Navigation,Passing Point,13.84706,100.56814
32.0,Navigation,Passing Point,13.84701,100.5683
32.5,Speed Bump between step 32 and 33,Caution: Speed Bump Ahead,13.846985,100.568405
33.0,Navigation,Passing Point,13.84696,100.56851
